bundle,devices,price_inr,carry_weight_kg,battery_hours_min,ram_gb_sum,storage_tb_sum,learning_hours_sum,maintenance_hours_per_year_sum,power_adequacy_score_avg,need_ram_ok,need_storage_ok,need_battery_ok,need_weight_ok,feasible_all_needs
MacBook Air 13″ (M4) (Mac only),"[""MacBook Air 13\u2033 (M4)""]",99900.0,1.24,15.0,16,2.0,1.0,4.0,7.5,True,True,True,True,True
MacBook Air 15″ (M4) (Mac only),"[""MacBook Air 15\u2033 (M4)""]",124900.0,1.51,15.0,16,2.0,1.0,4.0,7.5,True,True,True,True,True
MacBook Pro 14″ (M4) (Mac only),"[""MacBook Pro 14\u2033 (M4)""]",169900.0,1.55,16.0,16,2.0,1.5,5.0,8.3,True,True,True,True,True
MacBook Pro 14″ (M4 Pro or M4 Max) (Mac only),"[""MacBook Pro 14\u2033 (M4 Pro or M4 Max)""]",199900.0,1.6,14.0,24,8.0,2.0,6.0,9.2,True,True,False,True,False
MacBook Pro 16″ (M4 Pro or M4 Max) (Mac only),"[""MacBook Pro 16\u2033 (M4 Pro or M4 Max)""]",249900.0,2.14,17.0,24,8.0,2.0,6.0,9.6,True,True,True,False,False
"iMac (M4, two ports) (Mac only)","[""iMac (M4, two ports)""]",134900.0,,,16,2.0,0.5,3.0,7.5,True,True,False,False,False
"iMac (M4, four ports) (Mac only)","[""iMac (M4, four ports)""]",154900.0,,,16,2.0,0.5,3.0,7.5,True,True,False,False,False
Mac mini (M4 or M4 Pro) (Mac only),"[""Mac mini (M4 or M4 Pro)""]",59900.0,0.67,,16,2.0,0.5,2.0,7.8,True,True,False,True,False
Mac Studio (M4 Max or M3 Ultra) (Mac only),"[""Mac Studio (M4 Max or M3 Ultra)""]",214900.0,,,36,8.0,1.0,3.0,9.8,True,True,False,False,False
Mac Pro (M2 Ultra) (Mac only),"[""Mac Pro (M2 Ultra)""]",729900.0,,,64,8.0,1.0,6.0,9.2,True,True,False,False,False
MacBook Air 13″ (M4) + iPad Pro 11″ (M4),"[""MacBook Air 13\u2033 (M4)"", ""iPad Pro 11\u2033 (M4)""]",199800.0,1.684,10.0,16,4.0,,,7.5,True,True,False,True,False
MacBook Air 13″ (M4) + iPad Pro 13″ (M4),"[""MacBook Air 13\u2033 (M4)"", ""iPad Pro 13\u2033 (M4)""]",229800.0,1.819,10.0,16,4.0,,,7.5,True,True,False,True,False
MacBook Air 13″ (M4) + iPad Air 11″ (M3),"[""MacBook Air 13\u2033 (M4)"", ""iPad Air 11\u2033 (M3)""]",159800.0,1.7,10.0,16,3.0,,,7.5,True,True,False,True,False
MacBook Air 13″ (M4) + iPad Air 13″ (M3),"[""MacBook Air 13\u2033 (M4)"", ""iPad Air 13\u2033 (M3)""]",179800.0,1.8559999999999999,10.0,16,3.0,,,7.5,True,True,False,True,False
MacBook Air 13″ (M4) + iPad 11″ (A16),"[""MacBook Air 13\u2033 (M4)"", ""iPad 11\u2033 (A16)""]",134800.0,1.717,10.0,16,2.512,,,7.5,True,True,False,True,False
MacBook Air 13″ (M4) + iPad mini 8.3″ (A17 Pro),"[""MacBook Air 13\u2033 (M4)"", ""iPad mini 8.3\u2033 (A17 Pro)""]",149800.0,1.533,10.0,16,2.512,,,7.5,True,True,False,True,False
MacBook Air 15″ (M4) + iPad Pro 11″ (M4),"[""MacBook Air 15\u2033 (M4)"", ""iPad Pro 11\u2033 (M4)""]",224800.0,1.954,10.0,16,4.0,,,7.5,True,True,False,True,False
MacBook Air 15″ (M4) + iPad Pro 13″ (M4),"[""MacBook Air 15\u2033 (M4)"", ""iPad Pro 13\u2033 (M4)""]",254800.0,2.089,10.0,16,4.0,,,7.5,True,True,False,True,False
MacBook Air 15″ (M4) + iPad Air 11″ (M3),"[""MacBook Air 15\u2033 (M4)"", ""iPad Air 11\u2033 (M3)""]",184800.0,1.97,10.0,16,3.0,,,7.5,True,True,False,True,False
MacBook Air 15″ (M4) + iPad Air 13″ (M3),"[""MacBook Air 15\u2033 (M4)"", ""iPad Air 13\u2033 (M3)""]",204800.0,2.126,10.0,16,3.0,,,7.5,True,True,False,False,False
MacBook Air 15″ (M4) + iPad 11″ (A16),"[""MacBook Air 15\u2033 (M4)"", ""iPad 11\u2033 (A16)""]",159800.0,1.987,10.0,16,2.512,,,7.5,True,True,False,True,False
MacBook Air 15″ (M4) + iPad mini 8.3″ (A17 Pro),"[""MacBook Air 15\u2033 (M4)"", ""iPad mini 8.3\u2033 (A17 Pro)""]",174800.0,1.803,10.0,16,2.512,,,7.5,True,True,False,True,False
MacBook Pro 14″ (M4) + iPad Pro 11″ (M4),"[""MacBook Pro 14\u2033 (M4)"", ""iPad Pro 11\u2033 (M4)""]",269800.0,1.994,10.0,16,4.0,,,8.3,True,True,False,True,False
MacBook Pro 14″ (M4) + iPad Pro 13″ (M4),"[""MacBook Pro 14\u2033 (M4)"", ""iPad Pro 13\u2033 (M4)""]",299800.0,2.129,10.0,16,4.0,,,8.3,True,True,False,False,False
MacBook Pro 14″ (M4) + iPad Air 11″ (M3),"[""MacBook Pro 14\u2033 (M4)"", ""iPad Air 11\u2033 (M3)""]",229800.0,2.0100000000000002,10.0,16,3.0,,,8.3,True,True,False,True,False
MacBook Pro 14″ (M4) + iPad Air 13″ (M3),"[""MacBook Pro 14\u2033 (M4)"", ""iPad Air 13\u2033 (M3)""]",249800.0,2.166,10.0,16,3.0,,,8.3,True,True,False,False,False
MacBook Pro 14″ (M4) + iPad 11″ (A16),"[""MacBook Pro 14\u2033 (M4)"", ""iPad 11\u2033 (A16)""]",204800.0,2.027,10.0,16,2.512,,,8.3,True,True,False,True,False
MacBook Pro 14″ (M4) + iPad mini 8.3″ (A17 Pro),"[""MacBook Pro 14\u2033 (M4)"", ""iPad mini 8.3\u2033 (A17 Pro)""]",219800.0,1.843,10.0,16,2.512,,,8.3,True,True,False,True,False
MacBook Pro 14″ (M4 Pro or M4 Max) + iPad Pro 11″ (M4),"[""MacBook Pro 14\u2033 (M4 Pro or M4 Max)"", ""iPad Pro 11\u2033 (M4)""]",299800.0,2.044,10.0,24,10.0,,,9.2,True,True,False,True,False
MacBook Pro 14″ (M4 Pro or M4 Max) + iPad Pro 13″ (M4),"[""MacBook Pro 14\u2033 (M4 Pro or M4 Max)"", ""iPad Pro 13\u2033 (M4)""]",329800.0,2.1790000000000003,10.0,24,10.0,,,9.2,True,True,False,False,False
MacBook Pro 14″ (M4 Pro or M4 Max) + iPad Air 11″ (M3),"[""MacBook Pro 14\u2033 (M4 Pro or M4 Max)"", ""iPad Air 11\u2033 (M3)""]",259800.0,2.06,10.0,24,9.0,,,9.2,True,True,False,True,False
MacBook Pro 14″ (M4 Pro or M4 Max) + iPad Air 13″ (M3),"[""MacBook Pro 14\u2033 (M4 Pro or M4 Max)"", ""iPad Air 13\u2033 (M3)""]",279800.0,2.216,10.0,24,9.0,,,9.2,True,True,False,False,False
MacBook Pro 14″ (M4 Pro or M4 Max) + iPad 11″ (A16),"[""MacBook Pro 14\u2033 (M4 Pro or M4 Max)"", ""iPad 11\u2033 (A16)""]",234800.0,2.077,10.0,24,8.512,,,9.2,True,True,False,True,False
MacBook Pro 14″ (M4 Pro or M4 Max) + iPad mini 8.3″ (A17 Pro),"[""MacBook Pro 14\u2033 (M4 Pro or M4 Max)"", ""iPad mini 8.3\u2033 (A17 Pro)""]",249800.0,1.893,10.0,24,8.512,,,9.2,True,True,False,True,False
MacBook Pro 16″ (M4 Pro or M4 Max) + iPad Pro 11″ (M4),"[""MacBook Pro 16\u2033 (M4 Pro or M4 Max)"", ""iPad Pro 11\u2033 (M4)""]",349800.0,2.584,10.0,24,10.0,,,9.6,True,True,False,False,False
MacBook Pro 16″ (M4 Pro or M4 Max) + iPad Pro 13″ (M4),"[""MacBook Pro 16\u2033 (M4 Pro or M4 Max)"", ""iPad Pro 13\u2033 (M4)""]",379800.0,2.7190000000000003,10.0,24,10.0,,,9.6,True,True,False,False,False
MacBook Pro 16″ (M4 Pro or M4 Max) + iPad Air 11″ (M3),"[""MacBook Pro 16\u2033 (M4 Pro or M4 Max)"", ""iPad Air 11\u2033 (M3)""]",309800.0,2.6,10.0,24,9.0,,,9.6,True,True,False,False,False
MacBook Pro 16″ (M4 Pro or M4 Max) + iPad Air 13″ (M3),"[""MacBook Pro 16\u2033 (M4 Pro or M4 Max)"", ""iPad Air 13\u2033 (M3)""]",329800.0,2.7560000000000002,10.0,24,9.0,,,9.6,True,True,False,False,False
MacBook Pro 16″ (M4 Pro or M4 Max) + iPad 11″ (A16),"[""MacBook Pro 16\u2033 (M4 Pro or M4 Max)"", ""iPad 11\u2033 (A16)""]",284800.0,2.617,10.0,24,8.512,,,9.6,True,True,False,False,False
MacBook Pro 16″ (M4 Pro or M4 Max) + iPad mini 8.3″ (A17 Pro),"[""MacBook Pro 16\u2033 (M4 Pro or M4 Max)"", ""iPad mini 8.3\u2033 (A17 Pro)""]",299800.0,2.4330000000000003,10.0,24,8.512,,,9.6,True,True,False,False,False
"iMac (M4, two ports) + iPad Pro 11″ (M4)","[""iMac (M4, two ports)"", ""iPad Pro 11\u2033 (M4)""]",234800.0,,,16,4.0,,,7.5,True,True,False,False,False
"iMac (M4, two ports) + iPad Pro 13″ (M4)","[""iMac (M4, two ports)"", ""iPad Pro 13\u2033 (M4)""]",264800.0,,,16,4.0,,,7.5,True,True,False,False,False
"iMac (M4, two ports) + iPad Air 11″ (M3)","[""iMac (M4, two ports)"", ""iPad Air 11\u2033 (M3)""]",194800.0,,,16,3.0,,,7.5,True,True,False,False,False
"iMac (M4, two ports) + iPad Air 13″ (M3)","[""iMac (M4, two ports)"", ""iPad Air 13\u2033 (M3)""]",214800.0,,,16,3.0,,,7.5,True,True,False,False,False
"iMac (M4, two ports) + iPad 11″ (A16)","[""iMac (M4, two ports)"", ""iPad 11\u2033 (A16)""]",169800.0,,,16,2.512,,,7.5,True,True,False,False,False
"iMac (M4, two ports) + iPad mini 8.3″ (A17 Pro)","[""iMac (M4, two ports)"", ""iPad mini 8.3\u2033 (A17 Pro)""]",184800.0,,,16,2.512,,,7.5,True,True,False,False,False
"iMac (M4, four ports) + iPad Pro 11″ (M4)","[""iMac (M4, four ports)"", ""iPad Pro 11\u2033 (M4)""]",254800.0,,,16,4.0,,,7.5,True,True,False,False,False
"iMac (M4, four ports) + iPad Pro 13″ (M4)","[""iMac (M4, four ports)"", ""iPad Pro 13\u2033 (M4)""]",284800.0,,,16,4.0,,,7.5,True,True,False,False,False
"iMac (M4, four ports) + iPad Air 11″ (M3)","[""iMac (M4, four ports)"", ""iPad Air 11\u2033 (M3)""]",214800.0,,,16,3.0,,,7.5,True,True,False,False,False
"iMac (M4, four ports) + iPad Air 13″ (M3)","[""iMac (M4, four ports)"", ""iPad Air 13\u2033 (M3)""]",234800.0,,,16,3.0,,,7.5,True,True,False,False,False
"iMac (M4, four ports) + iPad 11″ (A16)","[""iMac (M4, four ports)"", ""iPad 11\u2033 (A16)""]",189800.0,,,16,2.512,,,7.5,True,True,False,False,False
"iMac (M4, four ports) + iPad mini 8.3″ (A17 Pro)","[""iMac (M4, four ports)"", ""iPad mini 8.3\u2033 (A17 Pro)""]",204800.0,,,16,2.512,,,7.5,True,True,False,False,False
Mac mini (M4 or M4 Pro) + iPad Pro 11″ (M4),"[""Mac mini (M4 or M4 Pro)"", ""iPad Pro 11\u2033 (M4)""]",159800.0,1.114,,16,4.0,,,7.8,True,True,False,True,False
Mac mini (M4 or M4 Pro) + iPad Pro 13″ (M4),"[""Mac mini (M4 or M4 Pro)"", ""iPad Pro 13\u2033 (M4)""]",189800.0,1.249,,16,4.0,,,7.8,True,True,False,True,False
Mac mini (M4 or M4 Pro) + iPad Air 11″ (M3),"[""Mac mini (M4 or M4 Pro)"", ""iPad Air 11\u2033 (M3)""]",119800.0,1.1300000000000001,,16,3.0,,,7.8,True,True,False,True,False
Mac mini (M4 or M4 Pro) + iPad Air 13″ (M3),"[""Mac mini (M4 or M4 Pro)"", ""iPad Air 13\u2033 (M3)""]",139800.0,1.286,,16,3.0,,,7.8,True,True,False,True,False
Mac mini (M4 or M4 Pro) + iPad 11″ (A16),"[""Mac mini (M4 or M4 Pro)"", ""iPad 11\u2033 (A16)""]",94800.0,1.147,,16,2.512,,,7.8,True,True,False,True,False
Mac mini (M4 or M4 Pro) + iPad mini 8.3″ (A17 Pro),"[""Mac mini (M4 or M4 Pro)"", ""iPad mini 8.3\u2033 (A17 Pro)""]",109800.0,0.9630000000000001,,16,2.512,,,7.8,True,True,False,True,False
Mac Studio (M4 Max or M3 Ultra) + iPad Pro 11″ (M4),"[""Mac Studio (M4 Max or M3 Ultra)"", ""iPad Pro 11\u2033 (M4)""]",314800.0,,,36,10.0,,,9.8,True,True,False,False,False
Mac Studio (M4 Max or M3 Ultra) + iPad Pro 13″ (M4),"[""Mac Studio (M4 Max or M3 Ultra)"", ""iPad Pro 13\u2033 (M4)""]",344800.0,,,36,10.0,,,9.8,True,True,False,False,False
