name,category,url,chip,ram_gb,storage_gb,storage_tb,battery_hours,weight_kg,price_inr,ports,display_inches,notes,learning_hours,maintenance_hours_per_year,power_adequacy_score
MacBook Air 13″ (M4),macbook,,M4,,,2.0,,1.24,99900.0,{},13.6,,,,
MacBook Air 15″ (M4),macbook,,M4,,,2.0,,1.51,124900.0,{},15.3,,,,
MacBook Pro 14″ (M4),macbook,,M4,,,2.0,,1.55,169900.0,{},14.2,,,,
MacBook Pro 14″ (M4 Pro or M4 Max),macbook,,,,,8.0,,1.6,199900.0,{},14.2,,,,
MacBook Pro 16″ (M4 Pro or M4 Max),macbook,,,,,8.0,,2.14,249900.0,{},16.2,,,,
MacBook Air 13″ (M3),macbook,,M3,,,2.0,,1.24,,{},13.6,,,,
MacBook Air 13″ (M2),macbook,,M2,,,2.0,,1.24,,{},13.6,,,,
MacBook Air 15″ (M3),macbook,,M3,,,2.0,,1.51,,{},15.3,,,,
"MacBook Air 15″ (M2, 2023)",macbook,,M2,,,2.0,,1.51,,{},15.3,,,,
"MacBook Air 13″ (M1, 2020)",macbook,,M1,,,2.0,,1.29,,{},13.3,,,,
"MacBook Air (Intel, 2020)",macbook,,,,,2.0,,1.29,,{},13.3,,,,
"MacBook Air (Intel, 2017)",macbook,,,,,0.5,,1.35,,{},13.3,,,,
"MacBook Pro 13″ (M2, 2022)",macbook,,M2,,,2.0,,1.38,,{},13.3,,,,
"MacBook Pro 13″ (M1, 2020)",macbook,,M1,,,2.0,,1.38,,{},13.3,,,,
"MacBook Pro 13″ (Intel, two ports, 2020)",macbook,,,,,2.0,,1.4,,{},13.3,,,,
"MacBook Pro 13″ (Intel, four ports, 2020)",macbook,,,,,4.0,,1.4,,{},13.3,,,,
MacBook Pro 14″ (M3),macbook,,M3,,,2.0,,1.55,,{},14.2,,,,
MacBook Pro 14″ (M3 Pro or M3 Max),macbook,,,,,8.0,,1.61,,{},14.2,,,,
"MacBook Pro 14″ (M2 Pro or M2 Max, 2023)",macbook,,,,,8.0,,1.6,,{},14.2,,,,
"MacBook Pro 14″ (M1 Pro or M1 Max, 2021)",macbook,,,,,8.0,,1.61,,{},14.2,,,,
MacBook Pro 16″ (M3 Pro or M3 Max),macbook,,,,,8.0,,2.14,,{},16.2,,,,
"MacBook Pro 16″ (M2 Pro or M2 Max, 2023)",macbook,,,,,8.0,,2.15,,{},16.2,,,,
"MacBook Pro 16″ (M1 Pro or M1 Max, 2021)",macbook,,,,,8.0,,2.15,,{},16.2,,,,
"MacBook Pro 16″ (Intel, 2019)",macbook,,,,,8.0,,2.0,,{},16.0,,,,
"iMac (M4, two ports)",mac,,M4,,,1.0,,,134900.0,{},24.0,,,,
"iMac (M4, four ports)",mac,,M4,,,2.0,,,154900.0,{},24.0,,,,
Mac mini (M4 or M4 Pro),mac,,M4,,,8.0,,,59900.0,{},,,,,
Mac Studio (M4 Max or M3 Ultra),mac,,,,,16.0,,,214900.0,{},,,,,
Mac Pro (M2 Ultra),mac,,,,,1.0,,,729900.0,{},,,,,
"iMac (M3, two ports)",mac,,M3,,,1.0,,,,{},24.0,,,,
"iMac (M3, four ports)",mac,,M3,,,2.0,,,,{},24.0,,,,
"iMac 21.5″ (Intel, 2019)",mac,,,,,1.0,,,,{},21.5,,,,
"iMac 21.5″ (Intel, 2017)",mac,,,,,1.0,,,,{},21.5,,,,
"iMac 24″ (M1, two ports, 2021)",mac,,M1,,,1.0,,,,{},24.0,,,,
"iMac 24″ (M1, four ports, 2021)",mac,,M1,,,2.0,,,,{},24.0,,,,
"iMac 27″ (Intel, 2020)",mac,,,,,8.0,,,,{},27.0,,,,
"iMac Pro (Intel, 2017)",mac,,,,,4.0,,,,{},27.0,,,,
Mac mini (M2 or M2 Pro),mac,,M2,,,8.0,,,,{},,,,,
"Mac mini (M1, 2020)",mac,,M1,,,2.0,,,,{},,,,,
"Mac mini (Intel, 2018)",mac,,,,,2.0,,,,{},,,,,
Mac Studio (M2 Max or M2 Ultra),mac,,,,,8.0,,,,{},,,,,
"Mac Studio (M1 Max or M1 Ultra, 2022)",mac,,,,,8.0,,,,{},,,,,
"Mac Pro (Intel, 2019)",mac,,,,,8.0,,,,{},,,,,
