model_key,display_name,region,order_index,display.size_in,display.panel,display.promotion,display.gamut,display.true_tone,display.anti_reflective,display.nano_texture_option,processor.soc,processor.cpu_cores,processor.gpu_cores,processor.neural_engine_cores,apple_intelligence,rear_camera.wide_mp,rear_camera.ultra_wide_mp,rear_camera.video,front_camera.mp,front_camera.position,front_camera.center_stage,front_camera.truedepth,connector,price.currency,price.symbol,price.from_price,price.raw_text,storage.options_gb,storage.min_gb,storage.max_gb,storage.raw_text,finish_colors
model-1,Model 1,IN,0,,,True,(13″) Ultra Retina XDR display 1,True,True,True,M4,,,,True,12.0,,,12.0,Landscape,True,,USB-C (Thunderbolt/USB 4),,,,Wi-Fi {IPADPRO13_WI_SB_S}* Wi-Fi + Cellular {IPADPRO13_5G_SB_S}*,"1000, 2000",1000.0,2000.0,6,Space Black
model-2,Model 2,IN,1,,,True,1,True,True,True,M3,,,,True,8.0,,,12.0,,True,,,,,,Wi-Fi,"256, 512",256.0,512.0,Wi-Fi,Space Grey
model-3,Model 3,IN,2,,,True,(11″) Ultra Retina XDR display 1,True,True,True,A16,,,,True,12.0,,,,,,True,USB-C (Thunderbolt/USB 4),,,,More from Mac,256,256.0,256.0,256GB,Blue
model-4,Model 4,IN,3,,,True,1,True,True,False,A17 Pro,,,,True,8.0,,,,,,True,,,,,Wi-Fi + Cellular,128,128.0,128.0,128GB,
model-5,Model 5,IN,4,,,True,(13″) Liquid Retina display 1,True,True,True,M2,,,,True,5.0,,,,,,,Lightning,,,,{IPADPRO13_5G_SB_S}*,64,64.0,64.0,64GB,
model-6,Model 6,IN,5,,,True,1,True,True,True,M1,,,,True,12.0,,,,,,True,USB-C (Thunderbolt/USB 4),,,,Wi-Fi {IPADPRO11_WI_SB_S}* Wi-Fi + Cellular {IPADPRO11_5G_SB_S}*,32,32.0,32.0,32GB,
model-7,Model 7,IN,6,,,True,(11″) Liquid Retina display 1,True,True,True,,,,,True,8.0,,,,,,True,,,,,Wi-Fi,128,128.0,128.0,128GB,
model-8,Model 8,IN,7,,,True,1,True,True,True,,,,,True,12.0,,,,,,,Lightning,,,,{IPADPRO11_WI_SB_S}*,64,64.0,64.0,64GB,
model-9,Model 9,IN,8,,,True,(11″) Liquid Retina display 1,True,True,True,,,,,True,8.0,,,12.0,Landscape,True,,,,,,Wi-Fi + Cellular,32,32.0,32.0,32GB,
model-10,Model 10,IN,9,,,True,1,True,True,True,,,,,True,5.0,,,12.0,,,,Lightning,,,,{IPADPRO11_5G_SB_S}*,128,128.0,128.0,128GB,
